region,monitored_capacity_MW,planned_maintanence_MW,forced_MW,other_reasons_MW
Northern,69663.53,2956.75,10867.17,3717.3
Western,106314.49,2115.0,25398.72,5930.54
Southern,62742.46,3076.8,19893.33,7610.77
Eastern,40797.5,1737.0,6318.0,1421.7
North Eastern,4265.45,105.97,471.0,263.36
Total,283783.44,9991.51,62948.22,18943.67
