particulars_0,particulars_1,monitored_capacity_MW,program_MU,actual_MU
THERMAL,COAL,199582.5,2646.53,2618.99
THERMAL,LIGNITE,6360.0,89.66,77.25
THERMAL,NATURAL GAS,23945.43,132.17,144.34
THERMAL,DIESEL,509.71,0.42,0.36
THERMAL,HIGH SPEED DIESEL,255.0,0.0,0.0
THERMAL,NAPTHA,701.58,0.03,0.0
THERMAL,Total THERMAL,231354.22,2868.81,2840.94
NUCLEAR,NUCLEAR,6780.0,129.02,127.81
HYDRO,HYDRO,45699.22,386.69,541.54
HYDRO,BHUTAN IMP.,0.0,21.39,47.2
TOTAL,Total,283833.44,3405.91,3557.49
