particulars_0,particulars_1,monitored_capacity_MW,program_MU,actual_MU
THERMAL,COAL,199582.5,2668.42,2864.34
THERMAL,LIGNITE,6310.0,93.34,76.59
THERMAL,NATURAL GAS,23945.43,132.99,147.12
THERMAL,DIESEL,509.71,0.42,0.36
THERMAL,HIGH SPEED DIESEL,255.0,0.0,0.0
THERMAL,NAPTHA,701.58,0.03,0.0
THERMAL,Total THERMAL,231304.22,2895.2,3088.41
NUCLEAR,NUCLEAR,6780.0,129.02,124.36
HYDRO,HYDRO,45699.22,386.69,475.51
HYDRO,BHUTAN IMP.,0.0,21.39,43.99
TOTAL,Total,283783.44,3432.3,3732.27
