particulars_0,particulars_1,monitored_capacity_MW,program_MU,actual_MU
THERMAL,COAL,199582.5,2655.79,2635.41
THERMAL,LIGNITE,6310.0,92.04,82.78
THERMAL,NATURAL GAS,23945.43,132.45,166.73
THERMAL,DIESEL,509.71,0.42,0.36
THERMAL,HIGH SPEED DIESEL,255.0,0.0,0.0
THERMAL,NAPTHA,701.58,0.03,0.0
THERMAL,Total THERMAL,231304.22,2880.73,2885.28
NUCLEAR,NUCLEAR,6780.0,129.02,126.9
HYDRO,HYDRO,45699.22,386.69,491.96
HYDRO,BHUTAN IMP.,0.0,21.39,46.54
TOTAL,Total,283783.44,3417.83,3550.68
