particulars_0,particulars_1,monitored_capacity_MW,program_MU,actual_MU
THERMAL,COAL,199582.5,2646.53,2532.56
THERMAL,LIGNITE,6310.0,92.04,81.24
THERMAL,NATURAL GAS,23945.43,132.45,159.79
THERMAL,DIESEL,509.71,0.42,0.36
THERMAL,HIGH SPEED DIESEL,255.0,0.0,0.0
THERMAL,NAPTHA,701.58,0.03,0.0
THERMAL,Total THERMAL,231304.22,2871.47,2773.95
NUCLEAR,NUCLEAR,6780.0,129.02,127.03
HYDRO,HYDRO,45699.22,386.69,469.19
HYDRO,BHUTAN IMP.,0.0,21.39,45.13
TOTAL,Total,283783.44,3408.57,3415.3
