particulars_0,particulars_1,monitored_capacity_MW,program_MU,actual_MU
THERMAL,COAL,199582.5,2646.53,2562.47
THERMAL,LIGNITE,6310.0,89.66,79.62
THERMAL,NATURAL GAS,23945.43,132.17,149.13
THERMAL,DIESEL,509.71,0.42,0.36
THERMAL,HIGH SPEED DIESEL,255.0,0.0,0.0
THERMAL,NAPTHA,701.58,0.03,0.0
THERMAL,Total THERMAL,231304.22,2868.81,2791.58
NUCLEAR,NUCLEAR,6780.0,129.02,127.8
HYDRO,HYDRO,45699.22,386.69,521.87
HYDRO,BHUTAN IMP.,0.0,21.39,34.89
TOTAL,Total,283783.44,3405.91,3476.14
