particulars_0,particulars_1,monitored_capacity_MW,program_MU,actual_MU
THERMAL,COAL,199582.5,2671.71,2806.04
THERMAL,LIGNITE,6310.0,93.34,79.2
THERMAL,NATURAL GAS,23945.43,132.99,148.05
THERMAL,DIESEL,509.71,0.42,0.36
THERMAL,HIGH SPEED DIESEL,255.0,0.0,0.0
THERMAL,NAPTHA,701.58,0.03,0.0
THERMAL,Total THERMAL,231304.22,2898.49,3033.65
NUCLEAR,NUCLEAR,6780.0,129.02,123.67
HYDRO,HYDRO,45699.22,386.69,495.62
HYDRO,BHUTAN IMP.,0.0,21.39,43.92
TOTAL,Total,283783.44,3435.59,3696.86
