region,power_station,monitored_capacity_MW,planned_maintanence_MW,forced_maintanence_MW,other_reasons_MW,gen_dt_program,gen_dt_actual,gen_dt_excess_shortfall,gen_dt_deviation
Northern,Delhi,2100.4,0.0,250.0,430.0,16.31,12.11,-4.2,-25.75
Northern,Haryana,2510.0,250.0,1960.0,0.0,29.48,6.02,-23.46,-79.58
Northern,Himachal Pradesh,777.0,0.0,0.0,115.0,7.01,6.63,-0.38,-5.42
Northern,Jammu and Kashmir,1285.0,0.0,0.0,360.0,9.57,12.81,3.24,33.86
Northern,Punjab,2701.0,33.5,1760.0,0.0,24.16,8.14,-16.02,-66.31
Northern,Rajasthan,8184.8,695.0,2039.0,690.0,99.57,79.37,-20.2,-20.29
Northern,Uttarakhand,1252.15,41.25,96.0,60.0,13.16,14.33,1.17,8.89
Northern,Uttar Pradesh,5970.6,514.0,679.0,0.0,92.22,76.03,-16.19,-17.56
Northern,ADHPL,192.0,0.0,0.0,0.0,1.23,1.31,0.08,6.5
Northern,AHPC (GVK),330.0,0.0,0.0,0.0,3.39,4.81,1.42,41.89
Northern,APCPL,1500.0,0.0,500.0,0.0,10.78,14.85,4.07,37.76
Northern,APL,1320.0,0.0,0.0,0.0,20.26,27.35,7.09,35.0
Northern,BBMB,2920.3,273.0,0.0,388.0,23.32,39.91,16.59,71.14
Northern,BEPL,450.0,0.0,0.0,0.0,2.4,5.87,3.47,144.58
Northern,BIPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,DAE,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Northern,E.P.P.L.,100.0,0.0,50.0,0.0,0.65,1.01,0.36,55.38
Northern,GBHPPL,70.0,0.0,0.0,0.0,0.39,0.71,0.32,82.05
Northern,GIPL,225.0,0.0,0.0,0.0,1.0,0.0,-1.0,-100.0
Northern,GMR BHHPL,0.0,0.0,0.0,0.0,0.45,0.0,-0.45,-100.0
Northern,GPGSL (GVK),540.0,0.0,0.0,540.0,6.84,1.54,-5.3,-77.49
Northern,HBPCL,1300.0,0.0,0.0,0.0,7.55,13.68,6.13,81.19
Northern,HSPCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,IAEPL,36.0,0.0,0.0,0.0,0.32,0.31,-0.01,-3.13
Northern,JhPL(HR),1320.0,0.0,0.0,0.0,18.42,25.54,7.12,38.65
Northern,JPPVL,400.0,0.0,0.0,0.0,3.81,6.98,3.17,83.2
Northern,LAPPL,1200.0,0.0,0.0,0.0,10.42,23.46,13.04,125.14
Northern,LPGCL,1980.0,0.0,0.0,0.0,26.06,28.1,2.04,7.83
Northern,L&T,0.0,0.0,0.0,0.0,0.29,0.0,-0.29,-100.0
Northern,MPCL,86.0,0.0,0.0,0.0,0.65,0.8,0.15,23.08
Northern,MUNPL,660.0,0.0,0.0,0.0,15.55,11.99,-3.56,-22.89
Northern,NHPC,4484.2,440.0,0.0,167.0,42.95,44.25,1.3,3.03
Northern,NLC,250.0,0.0,0.0,0.0,4.64,5.75,1.11,23.92
Northern,NPCIL,1520.0,0.0,200.0,0.0,26.24,30.17,3.93,14.98
Northern,NPL,1400.0,0.0,0.0,0.0,23.97,27.76,3.79,15.81
Northern,NTPC Ltd.,12614.06,710.0,2798.17,109.3,136.06,163.01,26.95,19.81
Northern,NTPGPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,PPGCL (Jaypee),1980.0,0.0,0.0,0.0,23.84,28.57,4.73,19.84
Northern,RPSCL,1200.0,0.0,300.0,0.0,17.88,13.4,-4.48,-25.06
Northern,RWPL (JSW),1080.0,0.0,135.0,0.0,17.32,21.4,4.08,23.56
Northern,SJVNL,1912.02,0.0,0.0,750.0,19.32,23.5,4.18,21.64
Northern,SrEPL,225.0,0.0,0.0,0.0,2.0,0.0,-2.0,-100.0
Northern,THDC,1400.0,0.0,0.0,0.0,9.29,7.4,-1.89,-20.34
Northern,TPDDL,108.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0
Northern,TSPL,1980.0,0.0,0.0,0.0,30.93,27.76,-3.17,-10.25
Northern,Total,69663.53,2956.75,10867.17,3717.3,799.7,816.63,16.93,2.12
Western,Chhatisgarh,3200.0,0.0,710.0,0.0,47.27,53.36,6.09,12.88
Western,Gujarat,9717.82,0.0,2714.62,480.0,85.79,116.36,30.57,35.63
Western,Madhya Pradesh,6115.0,675.0,2700.0,285.0,79.08,55.0,-24.08,-30.45
Western,Maharashtra,12988.0,250.0,2905.0,318.0,147.75,147.3,-0.45,-0.3
Western,ACB,325.0,0.0,160.0,0.0,4.99,3.87,-1.12,-22.44
Western,ACPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western,AEML,500.0,0.0,0.0,0.0,11.42,10.91,-0.51,-4.47
Western,AMNEPL,246.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0
Western,APL,7920.0,0.0,0.0,0.0,128.6,177.67,49.07,38.16
Western,BALCO,600.0,0.0,300.0,0.0,7.58,7.09,-0.49,-6.46
Western,BLAPPL,90.0,0.0,45.0,0.0,0.65,0.54,-0.11,-16.92
Western,CGPL,4000.0,0.0,800.0,0.0,70.26,69.94,-0.32,-0.46
Western,CLPINDIA,655.0,0.0,0.0,655.0,0.0,0.0,0.0,0.0
Western,DBPCL,1200.0,0.0,0.0,0.0,16.96,27.01,10.05,59.26
Western,DIPL,600.0,0.0,0.0,0.0,6.0,12.8,6.8,113.33
Western,DLHP,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western,EPGL,1200.0,0.0,1200.0,0.0,8.97,0.0,-8.97,-100.0
Western,ESSAR,515.0,0.0,295.0,220.0,0.0,0.0,0.0,0.0
