region,power_station,monitored_capacity_MW,planned_maintanence_MW,forced_maintanence_MW,other_reasons_MW,gen_dt_program,gen_dt_actual,gen_dt_excess_shortfall,gen_dt_deviation
Northern,Delhi,2100.4,0.0,250.0,430.0,16.31,12.19,-4.12,-25.26
Northern,Haryana,2510.0,250.0,1960.0,0.0,29.48,4.86,-24.62,-83.51
Northern,Himachal Pradesh,777.0,0.0,0.0,115.0,7.01,5.89,-1.12,-15.98
Northern,Jammu and Kashmir,1285.0,0.0,0.0,360.0,9.57,12.81,3.24,33.86
Northern,Punjab,2701.0,33.5,1760.0,0.0,24.16,11.49,-12.67,-52.44
Northern,Rajasthan,8184.8,695.0,2289.0,690.0,99.57,85.62,-13.95,-14.01
Northern,Uttarakhand,1252.15,41.25,96.0,60.0,13.16,14.3,1.14,8.66
Northern,Uttar Pradesh,5970.6,514.0,679.0,0.0,92.22,94.67,2.45,2.66
Northern,ADHPL,192.0,0.0,0.0,0.0,1.23,1.23,0.0,0.0
Northern,AHPC (GVK),330.0,0.0,0.0,0.0,3.39,4.37,0.98,28.91
Northern,APCPL,1500.0,0.0,500.0,0.0,10.78,15.38,4.6,42.67
Northern,APL,1320.0,0.0,0.0,0.0,20.26,29.26,9.0,44.42
Northern,BBMB,2920.3,273.0,0.0,388.0,23.32,37.69,14.37,61.62
Northern,BEPL,450.0,0.0,0.0,0.0,2.4,7.29,4.89,203.75
Northern,BIPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,DAE,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Northern,E.P.P.L.,100.0,0.0,0.0,0.0,0.65,1.11,0.46,70.77
Northern,GBHPPL,70.0,0.0,0.0,0.0,0.39,0.69,0.3,76.92
Northern,GIPL,225.0,0.0,0.0,0.0,1.0,0.0,-1.0,-100.0
Northern,GMR BHHPL,0.0,0.0,0.0,0.0,0.45,0.0,-0.45,-100.0
Northern,GPGSL (GVK),540.0,0.0,270.0,0.0,6.84,3.87,-2.97,-43.42
Northern,HBPCL,1300.0,0.0,0.0,0.0,7.55,12.96,5.41,71.66
Northern,HSPCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,IAEPL,36.0,0.0,0.0,0.0,0.32,0.29,-0.03,-9.38
Northern,JhPL(HR),1320.0,0.0,0.0,0.0,18.42,28.99,10.57,57.38
Northern,JPPVL,400.0,0.0,0.0,0.0,3.81,7.26,3.45,90.55
Northern,LAPPL,1200.0,0.0,0.0,0.0,10.42,26.99,16.57,159.02
Northern,LPGCL,1980.0,0.0,0.0,0.0,26.06,38.65,12.59,48.31
Northern,L&T,0.0,0.0,0.0,0.0,0.29,0.0,-0.29,-100.0
Northern,MPCL,86.0,0.0,0.0,0.0,0.65,0.98,0.33,50.77
Northern,MUNPL,660.0,0.0,0.0,0.0,15.55,13.8,-1.75,-11.25
Northern,NHPC,4484.2,440.0,0.0,197.0,42.95,43.18,0.23,0.54
Northern,NLC,250.0,125.0,0.0,0.0,4.64,2.9,-1.74,-37.5
Northern,NPCIL,1520.0,0.0,200.0,0.0,26.24,30.11,3.87,14.75
Northern,NPL,1400.0,0.0,0.0,0.0,23.97,16.91,-7.06,-29.45
Northern,NTPC Ltd.,12614.06,710.0,2798.17,109.3,136.06,171.76,35.7,26.24
Northern,NTPGPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,PPGCL (Jaypee),1980.0,0.0,660.0,0.0,23.84,25.11,1.27,5.33
Northern,RPSCL,1200.0,0.0,300.0,0.0,17.88,18.32,0.44,2.46
