region,power_station,monitored_capacity_MW,planned_maintanence_MW,forced_maintanence_MW,other_reasons_MW,gen_dt_program,gen_dt_actual,gen_dt_excess_shortfall,gen_dt_deviation
Northern,Delhi,2100.4,0.0,250.0,430.0,16.31,11.71,-4.6,-28.2
Northern,Haryana,2510.0,250.0,1960.0,0.0,29.48,6.31,-23.17,-78.6
Northern,Himachal Pradesh,777.0,0.0,0.0,115.0,7.01,6.93,-0.08,-1.14
Northern,Jammu and Kashmir,1285.0,0.0,0.0,360.0,9.57,12.85,3.28,34.27
Northern,Punjab,2701.0,33.5,1760.0,0.0,24.16,11.48,-12.68,-52.48
Northern,Rajasthan,8184.8,695.0,2039.0,480.0,99.57,82.68,-16.89,-16.96
Northern,Uttarakhand,1252.15,150.0,96.0,228.25,13.16,14.98,1.82,13.83
Northern,Uttar Pradesh,5970.6,514.0,1139.0,0.0,92.22,86.2,-6.02,-6.53
Northern,ADHPL,192.0,0.0,0.0,0.0,1.23,1.32,0.09,7.32
Northern,AHPC (GVK),330.0,0.0,0.0,0.0,3.39,4.64,1.25,36.87
Northern,APCPL,1500.0,0.0,500.0,0.0,10.78,13.24,2.46,22.82
Northern,APL,1320.0,0.0,0.0,0.0,20.26,24.91,4.65,22.95
Northern,BBMB,2920.3,273.0,0.0,231.0,23.32,39.3,15.98,68.52
Northern,BEPL,450.0,0.0,0.0,0.0,2.4,7.5,5.1,212.5
Northern,BIPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,DAE,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Northern,E.P.P.L.,100.0,0.0,0.0,0.0,0.65,1.1,0.45,69.23
Northern,GBHPPL,70.0,0.0,0.0,0.0,0.39,0.72,0.33,84.62
Northern,GIPL,225.0,0.0,0.0,0.0,1.0,0.0,-1.0,-100.0
Northern,GMR BHHPL,0.0,0.0,0.0,0.0,0.45,0.0,-0.45,-100.0
Northern,GPGSL (GVK),540.0,0.0,0.0,0.0,6.84,10.47,3.63,53.07
Northern,HBPCL,1300.0,0.0,0.0,0.0,7.55,14.8,7.25,96.03
Northern,HSPCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,IAEPL,36.0,0.0,0.0,0.0,0.32,0.33,0.01,3.13
Northern,JhPL(HR),1320.0,0.0,0.0,0.0,18.42,22.7,4.28,23.24
Northern,JPPVL,400.0,0.0,0.0,0.0,3.81,7.63,3.82,100.26
Northern,LAPPL,1200.0,0.0,0.0,0.0,10.42,23.68,13.26,127.26
Northern,LPGCL,1980.0,0.0,0.0,0.0,26.06,36.2,10.14,38.91
Northern,L&T,0.0,0.0,0.0,0.0,0.29,0.0,-0.29,-100.0
Northern,MPCL,86.0,0.0,0.0,0.0,0.65,0.1,-0.55,-84.62
Northern,MUNPL,660.0,0.0,0.0,0.0,15.55,12.93,-2.62,-16.85
Northern,NHPC,4484.2,440.0,110.0,152.0,42.95,46.6,3.65,8.5
Northern,NLC,250.0,0.0,0.0,0.0,4.64,5.72,1.08,23.28
Northern,NPCIL,1520.0,0.0,200.0,0.0,26.24,30.03,3.79,14.44
Northern,NPL,1400.0,0.0,0.0,0.0,23.97,32.77,8.8,36.71
Northern,NTPC Ltd.,12614.06,910.0,2908.17,109.3,135.52,159.34,23.82,17.58
Northern,NTPGPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,PPGCL (Jaypee),1980.0,0.0,0.0,0.0,23.84,34.05,10.21,42.83
Northern,RPSCL,1200.0,0.0,0.0,0.0,17.88,23.67,5.79,32.38
Northern,RWPL (JSW),1080.0,0.0,135.0,0.0,17.29,21.25,3.96,22.9
Northern,SJVNL,1912.02,0.0,0.0,750.0,19.32,28.03,8.71,45.08
Northern,SrEPL,225.0,0.0,0.0,0.0,2.0,0.0,-2.0,-100.0
Northern,THDC,1400.0,0.0,0.0,0.0,9.29,9.38,0.09,0.97
Northern,TPDDL,108.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0
Northern,TSPL,1980.0,0.0,1320.0,0.0,30.93,13.05,-17.88,-57.81
Northern,Total,69663.53,3265.5,12517.17,2963.55,799.13,858.6,59.47,7.44
Western,Chhatisgarh,3200.0,0.0,0.0,0.0,47.27,61.23,13.96,29.53
Western,Gujarat,9717.82,0.0,2799.62,480.0,85.79,127.13,41.34,48.19
Western,Madhya Pradesh,6115.0,675.0,2910.0,285.0,79.08,40.62,-38.46,-48.63
Western,Maharashtra,12988.0,250.0,2635.0,318.0,147.75,139.23,-8.52,-5.77
Western,ACB,325.0,0.0,160.0,0.0,4.99,3.83,-1.16,-23.25
Western,ACPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western,AEML,500.0,0.0,0.0,0.0,11.42,9.08,-2.34,-20.49
Western,AMNEPL,246.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0
Western,APL,7920.0,0.0,660.0,0.0,128.6,145.62,17.02,13.23
Western,BALCO,600.0,0.0,0.0,0.0,7.58,11.24,3.66,48.28
Western,BLAPPL,90.0,0.0,45.0,0.0,0.65,0.54,-0.11,-16.92
Western,CGPL,4000.0,0.0,0.0,0.0,70.26,93.41,23.15,32.95
Western,CLPINDIA,655.0,0.0,0.0,655.0,0.0,0.0,0.0,0.0
