region,power_station,monitored_capacity_MW,planned_maintanence_MW,forced_maintanence_MW,other_reasons_MW,gen_dt_program,gen_dt_actual,gen_dt_excess_shortfall,gen_dt_deviation
Northern,Delhi,2100.4,0.0,250.0,430.0,16.31,11.86,-4.45,-27.28
Northern,Haryana,2510.0,250.0,1960.0,0.0,29.48,4.9,-24.58,-83.38
Northern,Himachal Pradesh,777.0,0.0,0.0,115.0,7.01,6.76,-0.25,-3.57
Northern,Jammu and Kashmir,1285.0,0.0,0.0,360.0,9.57,12.91,3.34,34.9
Northern,Punjab,2701.0,33.5,1760.0,0.0,24.16,8.27,-15.89,-65.77
Northern,Rajasthan,8184.8,695.0,2039.0,480.0,99.57,83.62,-15.95,-16.02
Northern,Uttarakhand,1252.15,150.0,96.0,228.25,13.16,14.62,1.46,11.09
Northern,Uttar Pradesh,5970.6,514.0,929.0,0.0,92.22,86.77,-5.45,-5.91
Northern,ADHPL,192.0,0.0,0.0,0.0,1.23,2.68,1.45,117.89
Northern,AHPC (GVK),330.0,0.0,0.0,0.0,3.39,4.66,1.27,37.46
Northern,APCPL,1500.0,0.0,500.0,0.0,10.78,14.29,3.51,32.56
Northern,APL,1320.0,0.0,0.0,0.0,20.26,26.68,6.42,31.69
Northern,BBMB,2920.3,273.0,0.0,231.0,23.32,40.09,16.77,71.91
Northern,BEPL,450.0,0.0,0.0,0.0,2.4,7.23,4.83,201.25
Northern,BIPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,DAE,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Northern,E.P.P.L.,100.0,0.0,0.0,0.0,0.65,0.93,0.28,43.08
Northern,GBHPPL,70.0,0.0,0.0,0.0,0.39,0.71,0.32,82.05
Northern,GIPL,225.0,0.0,0.0,0.0,1.0,0.0,-1.0,-100.0
Northern,GMR BHHPL,0.0,0.0,0.0,0.0,0.45,0.0,-0.45,-100.0
Northern,GPGSL (GVK),540.0,0.0,0.0,540.0,6.84,4.83,-2.01,-29.39
Northern,HBPCL,1300.0,0.0,0.0,0.0,7.55,14.46,6.91,91.52
Northern,HSPCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,IAEPL,36.0,0.0,0.0,0.0,0.32,0.33,0.01,3.13
Northern,JhPL(HR),1320.0,0.0,0.0,0.0,18.42,27.81,9.39,50.98
Northern,JPPVL,400.0,0.0,0.0,0.0,3.81,7.33,3.52,92.39
Northern,LAPPL,1200.0,0.0,0.0,0.0,10.42,25.72,15.3,146.83
Northern,LPGCL,1980.0,0.0,660.0,0.0,26.06,34.77,8.71,33.42
Northern,L&T,0.0,0.0,0.0,0.0,0.29,0.0,-0.29,-100.0
Northern,MPCL,86.0,0.0,0.0,0.0,0.65,0.94,0.29,44.62
Northern,MUNPL,660.0,0.0,0.0,0.0,15.55,18.1,2.55,16.4
Northern,NHPC,4484.2,440.0,0.0,497.0,42.95,46.95,4.0,9.31
Northern,NLC,250.0,0.0,0.0,0.0,4.64,5.7,1.06,22.84
Northern,NPCIL,1520.0,0.0,200.0,0.0,26.24,30.07,3.83,14.6
Northern,NPL,1400.0,0.0,0.0,0.0,23.97,32.94,8.97,37.42
Northern,NTPC Ltd.,12614.06,910.0,2798.17,109.3,135.52,160.63,25.11,18.53
Northern,NTPGPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,PPGCL (Jaypee),1980.0,0.0,0.0,0.0,23.84,37.55,13.71,57.51
Northern,RPSCL,1200.0,0.0,0.0,0.0,17.88,23.54,5.66,31.66
Northern,RWPL (JSW),1080.0,0.0,0.0,0.0,19.67,23.38,3.71,18.86
Northern,SJVNL,1912.02,0.0,68.67,1000.0,19.32,24.07,4.75,24.59
Northern,SrEPL,225.0,0.0,0.0,0.0,2.0,0.0,-2.0,-100.0
Northern,THDC,1400.0,0.0,0.0,0.0,9.29,9.34,0.05,0.54
Northern,TPDDL,108.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0
Northern,TSPL,1980.0,0.0,0.0,0.0,30.93,33.71,2.78,8.99
Northern,Total,69663.53,3265.5,11360.84,4098.55,801.51,889.15,87.64,10.93
Western,Chhatisgarh,3200.0,0.0,710.0,0.0,47.27,50.18,2.91,6.16
Western,Gujarat,9717.82,0.0,3509.62,480.0,85.79,110.91,25.12,29.28
Western,Madhya Pradesh,6115.0,675.0,2910.0,285.0,79.08,49.8,-29.28,-37.03
Western,Maharashtra,12988.0,250.0,2635.0,318.0,147.75,147.7,-0.05,-0.03
Western,ACB,325.0,0.0,160.0,0.0,4.99,3.87,-1.12,-22.44
Western,ACPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western,AEML,500.0,0.0,0.0,0.0,11.42,10.65,-0.77,-6.74
Western,AMNEPL,246.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0
Western,APL,7920.0,0.0,660.0,0.0,128.6,158.67,30.07,23.38
Western,BALCO,600.0,0.0,0.0,0.0,7.58,11.11,3.53,46.57
Western,BLAPPL,90.0,0.0,45.0,0.0,0.65,0.54,-0.11,-16.92
Western,CGPL,4000.0,0.0,0.0,0.0,70.26,88.25,17.99,25.6
Western,CLPINDIA,655.0,0.0,0.0,655.0,0.0,0.0,0.0,0.0
Western,DBPCL,1200.0,0.0,0.0,0.0,16.96,21.29,4.33,25.53
Western,DIPL,600.0,0.0,0.0,0.0,6.0,13.0,7.0,116.67
Western,DLHP,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western,EPGL,1200.0,0.0,1200.0,0.0,8.97,0.0,-8.97,-100.0
