region,power_station,monitored_capacity_MW,planned_maintanence_MW,forced_maintanence_MW,other_reasons_MW,gen_dt_program,gen_dt_actual,gen_dt_excess_shortfall,gen_dt_deviation
Northern,Delhi,2100.4,0.0,250.0,430.0,16.31,11.87,-4.44,-27.22
Northern,Haryana,2510.0,250.0,1960.0,0.0,29.48,4.42,-25.06,-85.01
Northern,Himachal Pradesh,777.0,0.0,0.0,115.0,7.01,5.55,-1.46,-20.83
Northern,Jammu and Kashmir,1285.0,0.0,0.0,360.0,9.57,12.81,3.24,33.86
Northern,Punjab,2701.0,33.5,1760.0,0.0,24.16,12.88,-11.28,-46.69
Northern,Rajasthan,8184.8,695.0,2039.0,690.0,99.57,73.9,-25.67,-25.78
Northern,Uttarakhand,1252.15,150.0,96.0,228.25,13.16,12.88,-0.28,-2.13
Northern,Uttar Pradesh,5970.6,514.0,1139.0,0.0,92.22,87.96,-4.26,-4.62
Northern,ADHPL,192.0,0.0,0.0,0.0,1.23,1.33,0.1,8.13
Northern,AHPC (GVK),330.0,0.0,0.0,0.0,3.39,4.52,1.13,33.33
Northern,APCPL,1500.0,0.0,500.0,0.0,10.78,13.45,2.67,24.77
Northern,APL,1320.0,0.0,0.0,0.0,20.26,24.26,4.0,19.74
Northern,BBMB,2920.3,273.0,0.0,231.0,23.32,40.15,16.83,72.17
Northern,BEPL,450.0,0.0,0.0,0.0,2.4,7.77,5.37,223.75
Northern,BIPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,DAE,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Northern,E.P.P.L.,100.0,0.0,50.0,0.0,0.65,1.12,0.47,72.31
Northern,GBHPPL,70.0,0.0,0.0,0.0,0.39,0.75,0.36,92.31
Northern,GIPL,225.0,0.0,0.0,0.0,1.0,0.0,-1.0,-100.0
Northern,GMR BHHPL,0.0,0.0,0.0,0.0,0.45,0.0,-0.45,-100.0
Northern,GPGSL (GVK),540.0,0.0,0.0,540.0,6.84,1.54,-5.3,-77.49
Northern,HBPCL,1300.0,0.0,0.0,0.0,7.55,14.24,6.69,88.61
Northern,HSPCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,IAEPL,36.0,0.0,0.0,0.0,0.32,0.33,0.01,3.13
Northern,JhPL(HR),1320.0,0.0,0.0,0.0,18.42,21.91,3.49,18.95
Northern,JPPVL,400.0,0.0,0.0,0.0,3.81,6.95,3.14,82.41
